University Name,In State Tuition,Out of State Tuition,Admission Rate,Number of Students,Graduation Rate 4-years,Earnings After 10 Years,Retention Rate,Diversity Score,Public or Private
Princeton University,57410,57410,0.057,5527,0.9744,110066,0.9705,0.70147944,0
Massachusetts Institute of Technology,57986,57986,0.0396,4638,0.9557,143372,0.9898,0.6991909,0
Harvard University,57261,57261,0.0324,7973,0.9726,101817,0.9769,0.70317398,0
Stanford University,58416,58416,0.0368,7761,0.9534,124080,0.9831,0.69497164,0
Yale University,62250,62250,0.0457,6639,0.9736,100533,0.981,0.70271536,0
California Institute of Technology,19190,19190,0.027,540,0.7828,53598,0.9474,0.48327995999999995,0
Duke University,62688,62688,0.0635,6570,0.9625,97800,0.9685,0.70044382,0
Johns Hopkins University,60480,60480,0.0725,5643,0.9433,87555,0.9695,0.68889772,0
Northwestern University,8672,19460,0.9793,6243,0.4528,47021,0.6115,0.60080022,1
University of Pennsylvania,63452,63452,0.065,10572,0.9615,111371,0.9837,0.70973874,0
Cornell University,63200,63200,0.079,16071,0.88,104043,0.96,0.6618279199999999,0
University of Chicago,14046,28654,0.7869,21567,0.6195,68740,0.7832,0.66501386,1
Brown University,29720,29720,0.5664,1354,0.7078,53907,0.8445,0.43163436,0
Columbia University,66139,66139,0.0395,8902,0.9528,102491,0.9792,0.6798758200000001,0
Dartmouth College,62658,62658,0.0638,4412,0.9448,97434,0.9803,0.64416994,0
University of California-Los Angeles,6805,18685,0.8694,22690,0.5166,59211,0.7348,0.33505740000000006,1
University of California-Berkeley,14395,44467,0.1133,32475,0.9346,92446,0.9588,0.6540431800000001,1
Rice University,54960,54960,0.0868,4480,0.9299,89718,0.981,0.7089281000000001,0
University of Notre Dame,60301,60301,0.1291,8917,0.9612,99980,0.9738,0.5181604200000001,0
Vanderbilt University,60348,60348,0.0667,7144,0.9308,91565,0.9643,0.69447978,0
Carnegie Mellon University,61344,61344,0.113,7005,0.9214,114862,0.973,0.67366966,0
University of Michigan,16736,55334,0.1769,32448,0.934,83648,0.9721,0.6327967800000001,1
Washington University,8967,26873,0.9269,13686,0.665,62569,0.7736,0.46899334000000004,1
Emory University,57948,57948,0.1135,7017,0.9002,80137,0.9521,0.7067438599999999,0
Georgetown University,62052,62052,0.1223,7343,0.9541,103494,0.9658,0.6323422000000001,0
University of Virginia,20342,55914,0.1866,17103,0.9446,86863,0.9694,0.63768088,1
University of North Carolina-Chapel Hill,8989,37550,0.1711,19921,0.9161,72200,0.9598,0.62039548,1
University of Southern California,38700,38700,0.7484,2001,0.6044,59541,0.7227,0.54885662,0
University of California-San Diego,14906,44978,0.2371,33092,0.8851,84943,0.9339,0.6399033399999999,1
New York University,8524,18434,0.5827,5990,0.7327,58073,0.8416,0.55772746,1
University of Florida,5656,18786,0.2504,32691,0.8402,61675,0.9393,0.5599073999999999,1
University of Texas-Austin,11698,41070,0.3135,40980,0.8777,75121,0.953,0.68462194,1
Georgia Institute of Technology,11764,32876,0.1713,17379,0.9225,102772,0.9786,0.70021324,1
University of California-Davis,14858,44930,0.3734,31512,0.8663,80838,0.919,0.64697662,1
University of California-Irvine,13939,44011,0.2115,28651,0.8523,80735,0.9127,0.61816914,1
University of Illinois-Urbana-Champaign,15714,33686,0.4482,34031,0.8479,81054,0.9332,0.68657786,1
Boston College,22144,22144,0.167,259,0.4545,62123,0.8235,0.5977814199999999,0
Tufts University,65222,65222,0.0969,6747,0.9376,83214,0.9605,0.65943462,0
University of California-Santa Barbara,14617,44689,0.2585,23419,0.8553,74915,0.9236,0.63449646,1
University of Wisconsin-Madison,10796,39427,0.4906,35184,0.8921,73792,0.9433,0.5343167400000001,1
Boston University,62360,62360,0.1437,17668,0.8916,83238,0.9397,0.6717056599999999,0
Ohio State University,8998,33235,0.027,421,0.67,60409,0.5149,0.12970778000000005,1
Rutgers University,16112,33812,0.7652,4077,0.6716,74479,0.7856,0.71012678,1
University of Maryland,53430,53430,0.8348,3968,0.7956,82652,0.8458,0.5161668400000001,0
University of Rochester,26736,26736,0.7137,848,0.4016,48707,0.609,0.55893324,0
Lehigh University,59930,59930,0.3698,5612,0.8926,105584,0.9085,0.5677350999999999,0
Purdue University,8985,21573,0.8066,5482,0.3701,45872,0.6272,0.45519801999999987,1
University of Georgia,4980,15702,0.7318,2092,0.3522,48757,0.5973,0.5852677599999999,1
University of Washington,8967,26873,0.9269,13686,0.665,62569,0.7736,0.46899334000000004,1
Wake Forest University,62128,62128,0.2137,5446,0.8994,78158,0.9376,0.5035221000000001,0
