College or University,Acres
Duke University,8693.0
Stanford University,8180.0
University of Illinois Urbana-Champaign,6370.0
University of California-Davis,5300.0
University of Michigan-Ann Arbor,3070.0
Rutgers University-New Brunswick,2600.0
Purdue University-Main Campus,2500.0
Lehigh University,2355.0
Cornell University,2300.0
University of Florida,2000.0
University of Virginia-Main Campus,2000.0
Ohio State University-Main Campus,1700.0
University of California-Irvine,1475.0
University of Maryland-College Park,1347.0
University of Notre Dame,1250.0
University of California-Berkeley,1232.0
University of California-San Diego,1200.0
Yale University,1108.0
University of California-Santa Barbara,989.0
University of Wisconsin-Madison,939.0
University of Georgia,760.0
Tufts University,750.0
University of Rochester,707.0
University of Washington-Seattle Campus,700.0
Emory University,600.0
Princeton University,600.0
The University of Texas at Austin,431.0
University of California-Los Angeles,419.0
Georgia Institute of Technology-Main Campus,400.0
Vanderbilt University,340.0
Wake Forest University,340.0
Rice University,300.0
University of Pennsylvania,299.0
Dartmouth College,269.0
University of North Carolina at Chapel Hill,250.0
Northwestern University,242.8
Boston College,240.0
New York University,230.0
University of Southern California,226.0
University of Chicago,217.0
Harvard University,209.0
Washington University in St Louis,169.0
Massachusetts Institute of Technology,168.0
Carnegie Mellon University,150.0
Brown University,146.0
Boston University,140.0
Johns Hopkins University,140.0
California Institute of Technology,124.0
Georgetown University,104.0
Columbia University,36.0
